index,date,kp
0,1994-01-01 00:00:00,4.0
1,1994-01-01 03:00:00,4.0
2,1994-01-01 06:00:00,4.3
3,1994-01-01 09:00:00,4.3
4,1994-01-01 12:00:00,4.0
5,1994-01-01 15:00:00,4.0
6,1994-01-01 18:00:00,3.3
7,1994-01-01 21:00:00,3.0
8,1994-01-02 00:00:00,2.7
9,1994-01-02 03:00:00,3.3
10,1994-01-02 06:00:00,4.0
11,1994-01-02 09:00:00,3.7
12,1994-01-02 12:00:00,4.3
13,1994-01-02 15:00:00,3.7
14,1994-01-02 18:00:00,3.3
15,1994-01-02 21:00:00,3.0
16,1994-01-03 00:00:00,3.0
17,1994-01-03 03:00:00,2.0
18,1994-01-03 06:00:00,3.0
19,1994-01-03 09:00:00,3.3
20,1994-01-03 12:00:00,3.0
21,1994-01-03 15:00:00,3.7
22,1994-01-03 18:00:00,3.7
23,1994-01-03 21:00:00,1.7
24,1994-01-04 00:00:00,1.7
25,1994-01-04 03:00:00,3.3
26,1994-01-04 06:00:00,2.0
27,1994-01-04 09:00:00,1.0
28,1994-01-04 12:00:00,1.3
29,1994-01-04 15:00:00,1.0
30,1994-01-04 18:00:00,1.3
31,1994-01-04 21:00:00,0.7
32,1994-01-05 00:00:00,0.3
33,1994-01-05 03:00:00,1.0
34,1994-01-05 06:00:00,0.7
35,1994-01-05 09:00:00,1.0
36,1994-01-05 12:00:00,1.0
37,1994-01-05 15:00:00,0.7
38,1994-01-05 18:00:00,1.0
39,1994-01-05 21:00:00,2.3
40,1994-01-06 00:00:00,3.3
41,1994-01-06 03:00:00,2.7
42,1994-01-06 06:00:00,2.3
43,1994-01-06 09:00:00,2.0
44,1994-01-06 12:00:00,2.3
45,1994-01-06 15:00:00,3.3
46,1994-01-06 18:00:00,1.7
47,1994-01-06 21:00:00,3.3
48,1994-01-07 00:00:00,0.7
49,1994-01-07 03:00:00,0.0
50,1994-01-07 06:00:00,0.3
51,1994-01-07 09:00:00,1.3
52,1994-01-07 12:00:00,2.0
53,1994-01-07 15:00:00,1.0
54,1994-01-07 18:00:00,2.3
55,1994-01-07 21:00:00,2.0
56,1994-01-08 00:00:00,1.3
57,1994-01-08 03:00:00,2.3
58,1994-01-08 06:00:00,2.7
59,1994-01-08 09:00:00,1.3
60,1994-01-08 12:00:00,1.7
61,1994-01-08 15:00:00,1.3
62,1994-01-08 18:00:00,1.3
63,1994-01-08 21:00:00,1.3
64,1994-01-09 00:00:00,0.7
65,1994-01-09 03:00:00,0.0
66,1994-01-09 06:00:00,0.7
67,1994-01-09 09:00:00,1.0
68,1994-01-09 12:00:00,0.7
69,1994-01-09 15:00:00,1.0
70,1994-01-09 18:00:00,1.3
71,1994-01-09 21:00:00,0.3
72,1994-01-10 00:00:00,0.3
73,1994-01-10 03:00:00,0.7
74,1994-01-10 06:00:00,1.0
75,1994-01-10 09:00:00,0.3
76,1994-01-10 12:00:00,0.7
77,1994-01-10 15:00:00,0.3
78,1994-01-10 18:00:00,0.0
79,1994-01-10 21:00:00,0.0
80,1994-01-11 00:00:00,0.7
81,1994-01-11 03:00:00,2.0
82,1994-01-11 06:00:00,3.0
83,1994-01-11 09:00:00,2.7
84,1994-01-11 12:00:00,3.0
85,1994-01-11 15:00:00,5.3
86,1994-01-11 18:00:00,5.3
87,1994-01-11 21:00:00,4.3
88,1994-01-12 00:00:00,4.7
89,1994-01-12 03:00:00,4.3
90,1994-01-12 06:00:00,3.7
91,1994-01-12 09:00:00,3.7
92,1994-01-12 12:00:00,4.7
93,1994-01-12 15:00:00,4.7
94,1994-01-12 18:00:00,3.0
95,1994-01-12 21:00:00,4.0
96,1994-01-13 00:00:00,4.0
97,1994-01-13 03:00:00,4.3
98,1994-01-13 06:00:00,3.0
99,1994-01-13 09:00:00,3.3
100,1994-01-13 12:00:00,4.3
101,1994-01-13 15:00:00,4.0
102,1994-01-13 18:00:00,3.3
103,1994-01-13 21:00:00,4.7
104,1994-01-14 00:00:00,3.7
105,1994-01-14 03:00:00,4.0
106,1994-01-14 06:00:00,3.3
107,1994-01-14 09:00:00,3.7
108,1994-01-14 12:00:00,5.0
109,1994-01-14 15:00:00,4.0
110,1994-01-14 18:00:00,3.3
111,1994-01-14 21:00:00,3.7
112,1994-01-15 00:00:00,3.7
113,1994-01-15 03:00:00,3.7
114,1994-01-15 06:00:00,2.7
115,1994-01-15 09:00:00,2.0
116,1994-01-15 12:00:00,3.0
117,1994-01-15 15:00:00,3.3
118,1994-01-15 18:00:00,4.7
119,1994-01-15 21:00:00,3.7
120,1994-01-16 00:00:00,3.0
121,1994-01-16 03:00:00,3.7
122,1994-01-16 06:00:00,3.7
123,1994-01-16 09:00:00,3.3
124,1994-01-16 12:00:00,3.7
125,1994-01-16 15:00:00,3.3
126,1994-01-16 18:00:00,3.7
127,1994-01-16 21:00:00,3.0
128,1994-01-17 00:00:00,4.3
129,1994-01-17 03:00:00,5.0
130,1994-01-17 06:00:00,4.3
131,1994-01-17 09:00:00,3.3
132,1994-01-17 12:00:00,3.3
133,1994-01-17 15:00:00,3.7
134,1994-01-17 18:00:00,3.7
135,1994-01-17 21:00:00,3.7
136,1994-01-18 00:00:00,3.3
137,1994-01-18 03:00:00,3.3
138,1994-01-18 06:00:00,3.0
139,1994-01-18 09:00:00,3.3
140,1994-01-18 12:00:00,5.0
141,1994-01-18 15:00:00,4.7
142,1994-01-18 18:00:00,3.7
143,1994-01-18 21:00:00,3.3
144,1994-01-19 00:00:00,4.0
145,1994-01-19 03:00:00,4.7
146,1994-01-19 06:00:00,4.7
147,1994-01-19 09:00:00,3.0
148,1994-01-19 12:00:00,3.7
149,1994-01-19 15:00:00,2.3
150,1994-01-19 18:00:00,4.0
151,1994-01-19 21:00:00,3.7
152,1994-01-20 00:00:00,3.7
153,1994-01-20 03:00:00,3.3
154,1994-01-20 06:00:00,3.3
155,1994-01-20 09:00:00,2.3
156,1994-01-20 12:00:00,3.0
157,1994-01-20 15:00:00,2.7
158,1994-01-20 18:00:00,2.7
159,1994-01-20 21:00:00,2.3
160,1994-01-21 00:00:00,2.3
161,1994-01-21 03:00:00,2.3
162,1994-01-21 06:00:00,1.0
163,1994-01-21 09:00:00,1.3
164,1994-01-21 12:00:00,1.7
165,1994-01-21 15:00:00,2.3
166,1994-01-21 18:00:00,3.3
167,1994-01-21 21:00:00,2.7
168,1994-01-22 00:00:00,4.0
169,1994-01-22 03:00:00,2.3
170,1994-01-22 06:00:00,1.3
171,1994-01-22 09:00:00,1.3
172,1994-01-22 12:00:00,1.7
173,1994-01-22 15:00:00,0.7
174,1994-01-22 18:00:00,2.0
175,1994-01-22 21:00:00,2.3
176,1994-01-23 00:00:00,2.0
177,1994-01-23 03:00:00,2.3
178,1994-01-23 06:00:00,1.3
179,1994-01-23 09:00:00,1.7
180,1994-01-23 12:00:00,1.3
181,1994-01-23 15:00:00,1.7
182,1994-01-23 18:00:00,1.7
183,1994-01-23 21:00:00,2.3
184,1994-01-24 00:00:00,2.3
185,1994-01-24 03:00:00,1.0
186,1994-01-24 06:00:00,1.0
187,1994-01-24 09:00:00,1.3
188,1994-01-24 12:00:00,0.3
189,1994-01-24 15:00:00,0.0
190,1994-01-24 18:00:00,0.0
191,1994-01-24 21:00:00,1.0
192,1994-01-25 00:00:00,1.3
193,1994-01-25 03:00:00,2.3
194,1994-01-25 06:00:00,1.7
195,1994-01-25 09:00:00,0.3
196,1994-01-25 12:00:00,0.3
197,1994-01-25 15:00:00,0.7
198,1994-01-25 18:00:00,1.3
199,1994-01-25 21:00:00,2.3
200,1994-01-26 00:00:00,2.7
201,1994-01-26 03:00:00,3.3
202,1994-01-26 06:00:00,4.7
203,1994-01-26 09:00:00,3.0
204,1994-01-26 12:00:00,4.0
205,1994-01-26 15:00:00,3.7
206,1994-01-26 18:00:00,4.0
207,1994-01-26 21:00:00,3.3
208,1994-01-27 00:00:00,3.3
209,1994-01-27 03:00:00,3.7
210,1994-01-27 06:00:00,3.7
211,1994-01-27 09:00:00,2.7
212,1994-01-27 12:00:00,3.3
213,1994-01-27 15:00:00,3.7
214,1994-01-27 18:00:00,3.7
215,1994-01-27 21:00:00,3.7
216,1994-01-28 00:00:00,4.3
217,1994-01-28 03:00:00,3.3
218,1994-01-28 06:00:00,2.7
219,1994-01-28 09:00:00,3.7
220,1994-01-28 12:00:00,3.3
221,1994-01-28 15:00:00,2.0
222,1994-01-28 18:00:00,1.7
223,1994-01-28 21:00:00,2.3
224,1994-01-29 00:00:00,1.7
225,1994-01-29 03:00:00,2.7
226,1994-01-29 06:00:00,3.0
227,1994-01-29 09:00:00,2.3
228,1994-01-29 12:00:00,3.3
229,1994-01-29 15:00:00,2.3
230,1994-01-29 18:00:00,1.7
231,1994-01-29 21:00:00,2.3
232,1994-01-30 00:00:00,3.3
233,1994-01-30 03:00:00,1.3
234,1994-01-30 06:00:00,1.7
235,1994-01-30 09:00:00,2.0
236,1994-01-30 12:00:00,2.0
237,1994-01-30 15:00:00,3.7
238,1994-01-30 18:00:00,2.7
239,1994-01-30 21:00:00,2.3
240,1994-01-31 00:00:00,3.3
241,1994-01-31 03:00:00,2.0
242,1994-01-31 06:00:00,1.7
243,1994-01-31 09:00:00,1.7
244,1994-01-31 12:00:00,1.7
245,1994-01-31 15:00:00,2.0
246,1994-01-31 18:00:00,1.3
247,1994-01-31 21:00:00,3.3
248,1994-02-01 00:00:00,2.3
249,1994-02-01 03:00:00,0.7
250,1994-02-01 06:00:00,2.0
251,1994-02-01 09:00:00,2.3
252,1994-02-01 12:00:00,1.7
253,1994-02-01 15:00:00,0.7
254,1994-02-01 18:00:00,0.7
255,1994-02-01 21:00:00,0.3
256,1994-02-02 00:00:00,0.3
257,1994-02-02 03:00:00,2.3
258,1994-02-02 06:00:00,3.3
259,1994-02-02 09:00:00,4.0
260,1994-02-02 12:00:00,4.3
261,1994-02-02 15:00:00,3.0
262,1994-02-02 18:00:00,2.3
263,1994-02-02 21:00:00,0.3
264,1994-02-03 00:00:00,0.3
265,1994-02-03 03:00:00,1.7
266,1994-02-03 06:00:00,2.3
267,1994-02-03 09:00:00,2.3
268,1994-02-03 12:00:00,3.3
269,1994-02-03 15:00:00,3.3
270,1994-02-03 18:00:00,3.0
271,1994-02-03 21:00:00,2.7
272,1994-02-04 00:00:00,2.0
273,1994-02-04 03:00:00,2.0
274,1994-02-04 06:00:00,2.0
275,1994-02-04 09:00:00,1.3
276,1994-02-04 12:00:00,2.7
277,1994-02-04 15:00:00,3.7
278,1994-02-04 18:00:00,4.3
279,1994-02-04 21:00:00,3.0
280,1994-02-05 00:00:00,3.7
281,1994-02-05 03:00:00,3.0
282,1994-02-05 06:00:00,3.7
283,1994-02-05 09:00:00,5.0
284,1994-02-05 12:00:00,3.0
285,1994-02-05 15:00:00,4.0
286,1994-02-05 18:00:00,4.7
287,1994-02-05 21:00:00,5.7
288,1994-02-06 00:00:00,6.0
289,1994-02-06 03:00:00,4.3
290,1994-02-06 06:00:00,3.7
291,1994-02-06 09:00:00,5.3
292,1994-02-06 12:00:00,5.7
293,1994-02-06 15:00:00,6.3
294,1994-02-06 18:00:00,6.0
295,1994-02-06 21:00:00,6.0
296,1994-02-07 00:00:00,4.7
297,1994-02-07 03:00:00,6.0
298,1994-02-07 06:00:00,4.7
299,1994-02-07 09:00:00,6.0
300,1994-02-07 12:00:00,6.3
301,1994-02-07 15:00:00,5.3
302,1994-02-07 18:00:00,6.0
303,1994-02-07 21:00:00,4.3
304,1994-02-08 00:00:00,6.3
305,1994-02-08 03:00:00,5.7
306,1994-02-08 06:00:00,5.7
307,1994-02-08 09:00:00,5.0
308,1994-02-08 12:00:00,5.7
309,1994-02-08 15:00:00,5.3
310,1994-02-08 18:00:00,5.3
311,1994-02-08 21:00:00,5.3
312,1994-02-09 00:00:00,4.3
313,1994-02-09 03:00:00,3.7
314,1994-02-09 06:00:00,4.0
315,1994-02-09 09:00:00,3.7
316,1994-02-09 12:00:00,4.3
317,1994-02-09 15:00:00,5.3
318,1994-02-09 18:00:00,5.0
319,1994-02-09 21:00:00,5.3
320,1994-02-10 00:00:00,5.3
321,1994-02-10 03:00:00,5.0
322,1994-02-10 06:00:00,4.3
323,1994-02-10 09:00:00,4.3
324,1994-02-10 12:00:00,4.7
325,1994-02-10 15:00:00,4.7
326,1994-02-10 18:00:00,4.3
327,1994-02-10 21:00:00,4.7
328,1994-02-11 00:00:00,5.0
329,1994-02-11 03:00:00,5.0
330,1994-02-11 06:00:00,4.0
331,1994-02-11 09:00:00,5.7
332,1994-02-11 12:00:00,4.7
333,1994-02-11 15:00:00,5.3
334,1994-02-11 18:00:00,5.3
335,1994-02-11 21:00:00,5.3
336,1994-02-12 00:00:00,4.7
337,1994-02-12 03:00:00,4.3
338,1994-02-12 06:00:00,3.7
339,1994-02-12 09:00:00,4.0
340,1994-02-12 12:00:00,4.7
341,1994-02-12 15:00:00,4.3
342,1994-02-12 18:00:00,4.7
343,1994-02-12 21:00:00,4.7
344,1994-02-13 00:00:00,4.7
345,1994-02-13 03:00:00,3.7
346,1994-02-13 06:00:00,3.3
347,1994-02-13 09:00:00,4.0
348,1994-02-13 12:00:00,3.7
349,1994-02-13 15:00:00,5.3
350,1994-02-13 18:00:00,6.3
351,1994-02-13 21:00:00,4.7
